country,crypto_owners,pop_crypto,continent,iso3,perc_pop
Albania,28559,0.0099,Europe,ALB,0.99
Kenya,4580760,0.0852,Africa,KEN,8.52
Angola,349536,0.0106,Africa,ANG,1.06
Colombia,3122449,0.0614,South America,COL,6.14
India,100740320,0.073,Asia,IND,7.3
Argentina,1327067,0.0294,South America,ARG,2.94
Brazil,10373187,0.0488,South America,BRA,4.88
Armenia,33270,0.0112,Asia,ARM,1.12
Australia,857553,0.0336,Oceania,AUS,3.36
Austria,171578,0.0191,Europe,AUT,1.91
Azerbaijan,98217,0.0097,Asia,AZE,0.97
Belarus,352498,0.0373,Europe,BLR,3.73
Bahrain,16685,0.0098,Asia,BHR,0.98
Bangladesh,3742571,0.0227,Asia,BGD,2.27
France,2179654,0.0334,Europe,FRA,3.34
Barbados,3022,0.0105,North America,BRB,1.05
Latvia,62091,0.0329,Europe,LVA,3.29
Belgium,272990,0.0236,Europe,BEL,2.36
Canada,1206627,0.032,North America,CAN,3.2
Belize,3569,0.009,North America,BLZ,0.9
Malaysia,1019405,0.0315,Asia,MYS,3.15
Benin,161981,0.0134,Africa,BEM,1.34
Ghana,934482,0.0301,Africa,GHA,3.01
Georgia,115241,0.0289,Asia,GEO,2.89
Bosnia and Herzegovina,45002,0.0137,Europe,BIH,1.37
Ecuador,482496,0.0273,South America,ECU,2.73
Botswana,25010,0.0106,Africa,BWA,1.06
Indonesia,7285707,0.0266,Asia,IDN,2.66
Germany,2191986,0.0262,Europe,DEU,2.62
Chile,500125,0.0262,South America,CHL,2.62
Lithuania,70254,0.0258,Europe,LTU,2.58
Bulgaria,120842,0.0174,Europe,BGR,1.74
Burkina Faso,197532,0.0094,Africa,BFA,0.94
Estonia,32032,0.0241,Europe,EST,2.41
Cambodia,225368,0.0135,Asia,KHM,1.35
Cameroon,499423,0.0188,Africa,CMR,1.88
Italy,1309499,0.0217,Europe,ITA,2.17
El Salvador,125873,0.0194,North America,SLV,1.94
Congo,61302,0.0111,Africa,COG,1.11
Finland,104241,0.0188,Europe,FIN,1.88
Greece,194860,0.0187,Europe,GRC,1.87
Costa Rica,75913,0.0149,North America,CRI,1.49
Dominican Republic,201516,0.0186,North America,DOM,1.86
Croatia,62150,0.0151,Europe,HRV,1.51
Cyprus,20139,0.0167,Asia,CYP,1.67
Egypt,1791852,0.0175,Africa,EGY,1.75
Denmark,79451,0.0137,Europe,DNK,1.37
Kazakhstan,324325,0.0173,Asia,KAZ,1.73
Ireland,84704,0.0172,Europe,IRL,1.72
Japan,2079653,0.0164,Asia,JPN,1.64
Ethiopia,1127264,0.0098,Africa,ETH,0.98
Malta,6371,0.0144,Europe,MLT,1.44
